Symbol,Name,Sector,Price/Book,PEG Ratio,Foward PE,Trailing PE,Total Debt/Equity,EV/EBITDA
MMM,3M,Industrials,4.890669,30.52,11.910134,10.870855,117.484,11.954
AOS,A. O. Smith,Industrials,5.1896853,2.43,18.495327,18.907642,18.349,12.633
ABT,Abbott Laboratories,Health Care,5.0759983,2.43,23.551022,23.444696,46.204,13.93
ABBV,AbbVie,Health Care,18.10261,-43.78,14.089501,21.829334,436.757,11.822
ABMD,Abiomed,Health Care,11.087805,4.29,67.73298,64.828476,0.455,59.041
ACN,Accenture,Information Technology,8.148984,2.31,22.651587,26.648926,14.62,17.796
ATVI,Activision Blizzard,Communication Services,3.1667638,3.34,19.465473,35.73239,19.194,24.11
ADM,ADM,Consumer Staples,2.0784717,1.35,13.641141,12.531034,40.059,11.226
ADBE,Adobe,Information Technology,10.759658,1.86,21.77186,31.240564,32.29,23.433
AAP,Advance Auto Parts,Consumer Discretionary,3.1736305,0.94,10.836187,18.657692,150.469,12.728
AMD,Advanced Micro Devices,Information Technology,2.0768435,1.41,19.252054,43.918747,5.299,20.912
AES,AES Corp,Utilities,7.3083916,2.27,16.074286,,,
AFL,Aflac,Financials,1.8363339,-54.24,13.044037,9.090792,44.837,8.819
A,Agilent Technologies,Health Care,8.44163,2.25,24.100319,36.208138,52.354,24.619
APD,Air Products & Chemicals,Materials,5.2675104,2.59,24.908222,30.962303,61.435,20.094
AKAM,Akamai Technologies,Information Technology,3.3494947,1.5,16.0375,27.978191,74.491,14.496
ALK,Alaska Air Group,Industrials,1.5348914,-0.46,9.334677,112.92683,103.372,6.161
ALB,Albemarle Corporation,Materials,4.4889684,0.16,9.2370205,19.559515,50.286,16.794
ARE,Alexandria Real Estate Equities,Real Estate,1.3522695,-4.67,55.07143,44.123497,51.445,26.155
ALGN,Align Technology,Health Care,3.9331923,0.61,23.579214,27.808668,3.271,16.651
ALLE,Allegion,Industrials,12.119226,2.14,18.074503,22.234217,293.548,18.268
LNT,Alliant Energy,Utilities,2.216123,3.54,19.138409,20.793234,137.446,14.154
ALL,Allstate Corp,Financials,2.207372,15.91,14.288377,40.595013,45.373,31.063
GOOGL,Alphabet (Class A),Communication Services,4.959853,2.36,18.472382,19.473896,11.567,12.809
GOOG,Alphabet (Class C),Communication Services,4.97673,2.36,18.429922,19.54016,11.567,12.863
MO,Altria Group,Consumer Staples,,2.34,9.150495,17.980545,,8.722
AMZN,Amazon,Consumer Discretionary,6.5457644,-38.89,52.218933,78.79464,119.525,20.061
AMCR,Amcor,Materials,4.605762,5.77,14.638554,22.090908,189.311,12.366
AEE,Ameren Corp,Utilities,2.2120013,3.42,20.020641,21.877193,144.753,13.128
AAL,American Airlines Group,Industrials,,0.56,9.553333,,,
AEP,American Electric Power,Utilities,2.039361,3.05,18.18302,19.993776,156.591,12.262
AXP,American Express,Financials,4.827134,2.09,14.677419,15.516549,183.726,
AIG,American International Group,Financials,1.196122,1.19,9.776545,3.6589558,74.222,2.662
AMT,American Tower,Real Estate,15.751557,377.89,45.605152,33.786964,378.791,24.049
AWK,American Water Works,Utilities,3.625284,4.15,32.35983,21.33517,153.686,20.357
AMP,Ameriprise Financial,Financials,10.541488,1.28,11.15038,13.397168,110.777,7.109
ABC,AmerisourceBergen,Health Care,,1.71,13.39557,21.059702,9435.978,11.292
AME,Ametek,Industrials,4.5018997,2.52,23.420437,28.59305,35.389,19.626
AMGN,Amgen,Health Care,41.374325,2.3,15.271699,22.735956,1059.513,13.376
APH,Amphenol,Information Technology,7.087106,2.48,25.662294,26.442566,71.489,17.546
ADI,Analog Devices,Information Technology,2.325591,1.15,15.995196,31.71619,19.03,14.931
ANSS,Ansys,Information Technology,4.674832,3.97,29.035715,42.789474,19.435,32.774
ANTM,Anthem,Health Care,,,,,,
AON,Aon,Financials,,2.16,21.223982,24.003117,,14.029
APA,APA Corporation,Energy,23.662352,0.22,4.560291,4.150426,363.83,3.278
AAPL,Apple,Information Technology,44.968536,2.64,20.985317,23.389526,261.446,18.514
AMAT,Applied Materials,Information Technology,7.3331466,1.47,15.353372,14.073924,44.752,11.425
APTV,Aptiv,Consumer Discretionary,3.2965252,0.94,20.601238,85.22222,80.814,15.844
ANET,Arista Networks,Information Technology,8.989828,1.2,23.808117,44.34364,1.763,27.277
AJG,Arthur J. Gallagher & Co.,Financials,4.8193774,2.47,22.423342,38.731224,75.9,20.991
AIZ,Assurant,Financials,1.6686022,0.69,10.149921,21.163666,51.948,10.031
T,AT&T,Communication Services,1.1160272,-1.57,7.459144,7.9214873,114.729,5.871
ATO,Atmos Energy,Utilities,1.7567427,2.41,18.264387,20.97143,88.862,16.887
ADSK,Autodesk,Information Technology,46.402004,1.46,26.658903,66.41979,334.989,41.702
ADP,Automatic Data Processing,Information Technology,41.664787,2.18,28.661861,35.80748,139.499,25.384
AZO,AutoZone,Consumer Discretionary,,1.54,17.172852,20.839016,,15.624
AVB,AvalonBay Communities,Real Estate,2.0789268,-2.27,28.28644,18.964773,72.975,20.375
AVY,Avery Dennison,Materials,7.717922,2.69,18.345821,19.310413,156.07,13.441
BKR,Baker Hughes,Energy,2.0104845,0.68,17.096386,70.95,46.321,11.872
BLL,Ball Corp,Materials,,,,,,
BAC,Bank of America,Financials,1.101579,1.9,8.870968,10.443038,,
BBWI,Bath & Body Works Inc.,Consumer Discretionary,,4.81,11.552846,11.337767,,7.995
BAX,Baxter International,Health Care,4.6908293,2.57,14.151098,25.755,302.671,14.262
BDX,Becton Dickinson,Health Care,2.7393067,11.14,18.361382,45.425648,65.529,17.902
BRK.B,Berkshire Hathaway,Financials,,,,,,
BBY,Best Buy,Consumer Discretionary,6.2743917,1.59,12.193265,12.467066,134.046,7.422
BIO,Bio-Rad Laboratories,Health Care,1.4097421,1.63,26.48045,,,
TECH,Bio-Techne,Health Care,7.229142,3.59,32.39759,45.06704,19.503,37.47
BIIB,Biogen,Health Care,3.2853165,-4.16,18.612389,14.522671,51.963,12.822
BLK,BlackRock,Financials,2.8758311,-24.81,20.79912,19.648409,21.943,14.813
BK,BNY Mellon,Financials,0.99219495,2.03,9.193133,13.060976,,
BA,Boeing,Industrials,,-0.23,74.6569,,,
BKNG,Booking Holdings,Consumer Discretionary,21.75134,0.41,16.647835,34.543133,258.038,15.79
BWA,BorgWarner,Consumer Discretionary,1.417018,0.48,8.266129,11.918605,61.489,6.35
BXP,Boston Properties,Real Estate,1.6639078,1.88,27.11203,11.265516,170.211,15.283
BSX,Boston Scientific,Health Care,3.6661797,2.43,23.278349,105.023254,50.646,22.81
BMY,Bristol Myers Squibb,Health Care,5.195683,2.56,10.065491,26.032574,122.722,9.783
AVGO,Broadcom,Information Technology,10.200985,0.93,13.031475,22.76277,188.944,13.459
BR,Broadridge Financial Solutions,Information Technology,8.861753,1.82,19.059841,32.575,227.347,17.677
BRO,Brown & Brown,Financials,3.8098056,1.98,23.281124,26.23077,100.821,18.805
BF.B,Brown–Forman,Consumer Staples,,,,,,
CHRW,C. H. Robinson,Industrials,6.8571634,2.81,16.647469,11.562424,152.764,9.48
CDNS,Cadence Design Systems,Information Technology,16.578201,2.19,35.271553,54.372093,29.459,39.232
CZR,Caesars Entertainment,Consumer Discretionary,2.7286987,-0.56,55.988503,,,
CPB,Campbell Soup,Consumer Staples,4.7567325,4.7,17.373772,21.111555,151.515,13.253
COF,Capital One Financial,Financials,0.7805392,-0.76,5.8879147,4.6229105,,
CAH,Cardinal Health,Health Care,,1.45,12.663477,,,
KMX,CarMax,Consumer Discretionary,1.9145892,2.67,14.640624,12.735922,359.316,21.183
CCL,Carnival Corporation,Consumer Discretionary,1.3974456,0.01,19.375,,,
CARR,Carrier Global,Industrials,5.029814,1.97,17.003952,10.59606,125.995,15.196
CTLT,Catalent,Health Care,1.8467313,1.72,12.824469,19.05929,89.723,11.709
CAT,Caterpillar,Industrials,7.6200805,1.3,15.229486,16.614992,233.805,13.633
CBOE,Cboe Global Markets,Financials,4.1349435,2.84,18.13418,57.316963,61.018,13.904
CBRE,CBRE,Real Estate,3.0036743,1.26,14.608364,12.255183,50.037,11.988
CDW,CDW,Information Technology,18.85102,1.36,17.746399,24.275953,514.065,16.281
CE,Celanese,Materials,2.294942,-9.88,7.958238,6.909031,237.722,6.467
CNC,Centene Corporation,Health Care,1.9303173,1.1,13.553627,25.27353,84.234,8.088
CNP,CenterPoint Energy,Utilities,2.1092253,-20.63,20.684563,21.552448,156.202,13.322
CDAY,Ceridian,Information Technology,4.6965046,6.26,66.75532,,,
CERN,Cerner,Health Care,,,,,,
CF,CF Industries,Materials,4.516531,1.38,7.137834,6.633987,45.738,3.751
CRL,Charles River Laboratories,Health Care,4.0907598,1.92,18.478565,26.735443,125.474,14.784
SCHW,Charles Schwab Corporation,Financials,5.653455,0.95,16.582304,24.421211,71.348,
CHTR,Charter Communications,Communication Services,6.5002365,0.46,10.130186,11.470025,788.04,7.535
CVX,Chevron Corporation,Energy,2.0960724,0.63,10.0531845,9.784414,14.81,6.787
CMG,Chipotle Mexican Grill,Consumer Discretionary,17.98562,1.72,35.03019,50.856373,160.23,35.748
CB,Chubb,Financials,1.8959464,0.83,12.030404,15.1658535,42.73,14.264
CHD,Church & Dwight,Consumer Staples,5.299427,7.31,25.782053,26.903011,72.835,19.35
CI,Cigna,Health Care,2.2336514,1.23,13.275877,15.825253,71.076,12.52
CINF,Cincinnati Financial,Financials,1.7813833,-19.16,21.780043,33.314644,9.405,686.349
CTAS,Cintas Corporation,Industrials,14.229306,3.13,32.492462,37.939648,98.142,26.016
CSCO,Cisco Systems,Information Technology,4.950586,2.05,12.686685,17.541517,24.588,12.153
C,Citigroup,Financials,0.4851688,-0.57,7.0391235,6.037584,,
CFG,Citizens Financial Group,Financials,0.9226149,4.6,7.605416,9.805486,,
CTXS,Citrix Systems,Information Technology,,,,,,
CLX,Clorox,Consumer Staples,55.599697,2.69,27.416044,44.93884,646.976,24.905
CME,CME Group,Financials,2.285217,2.95,21.54371,24.54161,13.983,20.156
CMS,CMS Energy,Utilities,2.6490757,2.52,19.62701,22.947369,183.302,13.726
KO,Coca-Cola Company,Consumer Staples,12.02882,5.11,25.075098,27.824562,168.567,22.754
CTSH,Cognizant Technology Solutions,Information Technology,2.5635076,2.5,12.66242,13.282851,12.711,8.671
CL,Colgate-Palmolive,Consumer Staples,103.63758,12.19,24.433544,33.716156,783.381,17.522
CMCSA,Comcast,Communication Services,1.8721732,1.08,9.222812,29.466103,120.015,6.731
CMA,Comerica,Financials,1.8384721,-0.73,6.5258446,8.683863,,
CAG,Conagra Brands,Consumer Staples,2.1166525,2.52,14.390805,31.563025,105.427,14.899
COP,ConocoPhillips,Energy,2.9352324,0.31,8.751703,8.311287,34.559,4.631
ED,Consolidated Edison,Utilities,1.6692617,4.37,20.324999,20.538946,124.28,12.796
STZ,Constellation Brands,Consumer Staples,4.8639727,2.24,19.636797,589.5714,112.762,16.751
CPRT,Copart,Industrials,6.303601,1.28,24.996109,27.689655,2.385,20.476
GLW,Corning,Information Technology,2.427248,1.89,14.725663,15.479069,64.756,10.029
CTVA,Corteva,Materials,1.8352697,1.41,20.403847,32.151516,11.374,13.673
COST,Costco,Consumer Staples,10.318458,3.01,29.79319,36.617958,52.821,22.567
CTRA,Coterra,Energy,1.6069759,0.62,6.0849056,4.6823955,21.2,3.403
CCI,Crown Castle,Real Estate,7.740499,3.25,36.314816,36.80161,361.61,22.008
CSX,CSX,Industrials,5.1674957,1.39,16.4,16.574469,140.107,11.567
CMI,Cummins,Industrials,4.136109,1.67,12.469812,18.30082,91.04,13.202
